,MMP,X,Y,Z,Yeo7,YeoDesc7,Yeo17,YeoDesc17
173,L_LBelt_ROI,-45.02424621582031,-27.54349136352539,5.451705455780029,2.0,Somatomotor,4.0,Somatomotor_2
174,L_A4_ROI,-61.97938919067383,-22.386592864990234,3.8316876888275146,2.0,Somatomotor,4.0,Somatomotor_2
175,L_STSva_ROI,-51.51816940307617,-11.512639999389648,-19.40106773376465,7.0,Default,17.0,DMN_4
176,L_TE1m_ROI,-59.99756622314453,-27.334829330444336,-17.508405685424805,7.0,Default,17.0,DMN_4
177,L_PI_ROI,-44.71287155151367,-3.759228467941284,-18.347726821899414,4.0,VentralAttention,7.0,Salience_1
178,L_a32pr_ROI,-11.498162269592285,29.917675018310547,26.923599243164062,6.0,Frontoparietal,8.0,Salience_2
179,L_p24_ROI,-6.209175109863281,35.56774139404297,13.159533500671387,7.0,Default,16.0,DMN_3
180,R_V1_ROI,13.644123077392578,-79.92284393310547,2.5634593963623047,1.0,Visual,2.0,Visual_2
181,R_MST_ROI,42.81373596191406,-65.88340759277344,2.3776369094848633,1.0,Visual,5.0,Attention_1
182,R_V6_ROI,17.168018341064453,-77.3841552734375,28.679595947265625,1.0,Visual,2.0,Visual_2
183,R_V2_ROI,13.88326358795166,-80.3570556640625,3.5128560066223145,1.0,Visual,2.0,Visual_2
184,R_V3_ROI,19.410512924194336,-86.14889526367188,6.009171962738037,1.0,Visual,1.0,Visual_1
185,R_V4_ROI,29.147174835205078,-83.42092895507812,-1.3618413209915161,1.0,Visual,1.0,Visual_1
186,R_V8_ROI,31.566801071166992,-72.38480377197266,-12.297318458557129,1.0,Visual,1.0,Visual_1
187,R_4_ROI,27.842403411865234,-17.415748596191406,53.57593536376953,2.0,Somatomotor,3.0,Somatomotor_1
188,R_3b_ROI,36.19810485839844,-23.240434646606445,50.48146438598633,2.0,Somatomotor,3.0,Somatomotor_1
189,R_FEF_ROI,40.878414154052734,-2.8802120685577393,48.19679641723633,3.0,DorsalAttention,7.0,Salience_1
190,R_PEF_ROI,44.20357131958008,1.1102499961853027,35.351966857910156,3.0,DorsalAttention,12.0,CentralExecutive_2
191,R_55b_ROI,45.628150939941406,1.4710227251052856,44.394874572753906,4.0,VentralAttention,7.0,Salience_1
192,R_V3A_ROI,16.5794620513916,-86.92333984375,26.058338165283203,1.0,Visual,2.0,Visual_2
193,R_RSC_ROI,7.440681457519531,-34.881282806396484,22.252399444580078,7.0,Default,11.0,CentralExecutive_1
194,R_POS2_ROI,11.702943801879883,-68.52052307128906,36.14554977416992,6.0,Frontoparietal,11.0,CentralExecutive_1
195,R_V7_ROI,24.047855377197266,-81.13426208496094,29.87464714050293,1.0,Visual,1.0,Visual_1
196,R_IPS1_ROI,24.28726577758789,-67.8220443725586,34.603328704833984,3.0,DorsalAttention,5.0,Attention_1
197,R_FFC_ROI,39.57792282104492,-54.4480094909668,-17.821802139282227,1.0,Visual,1.0,Visual_1
198,R_V3B_ROI,28.380504608154297,-75.55570983886719,18.261816024780273,1.0,Visual,1.0,Visual_1
199,R_LO1_ROI,37.99370574951172,-81.61699676513672,2.450160503387451,1.0,Visual,1.0,Visual_1
200,R_LO2_ROI,42.991546630859375,-81.73558807373047,-5.914863586425781,1.0,Visual,1.0,Visual_1
201,R_PIT_ROI,41.24343490600586,-79.47372436523438,-13.27560806274414,1.0,Visual,1.0,Visual_1
